iter	Passed	Remaining
0	46	13956
1	67	10034
2	87	8627
3	103	7690
4	119	7048
5	136	6697
6	155	6524
7	170	6211
8	190	6168
9	209	6074
10	233	6136
11	256	6146
12	274	6069
13	294	6021
14	312	5932
15	334	5943
16	355	5921
17	372	5831
18	386	5719
19	400	5613
20	415	5520
21	431	5454
22	447	5392
23	462	5320
24	478	5259
25	493	5204
26	511	5168
27	531	5160
28	552	5166
29	573	5158
30	590	5123
31	610	5113
32	629	5093
33	647	5065
34	665	5036
35	684	5018
36	710	5050
37	728	5022
38	745	4990
39	761	4946
40	777	4912
41	793	4872
42	808	4832
43	825	4801
44	840	4761
45	858	4740
46	874	4705
47	892	4684
48	911	4667
49	929	4649
50	951	4643
51	969	4625
52	988	4608
53	1008	4594
54	1028	4583
55	1049	4574
56	1071	4566
57	1093	4563
58	1109	4531
59	1127	4508
60	1147	4494
61	1166	4476
62	1187	4466
63	1205	4446
64	1233	4459
65	1250	4433
66	1268	4410
67	1287	4392
68	1305	4371
69	1321	4343
70	1336	4310
71	1351	4279
72	1367	4252
73	1383	4225
74	1406	4218
75	1430	4215
76	1449	4196
77	1466	4172
78	1480	4142
79	1496	4116
80	1512	4090
81	1528	4064
82	1545	4040
83	1560	4012
84	1576	3987
85	1596	3973
86	1615	3954
87	1631	3930
88	1651	3916
89	1669	3896
90	1687	3876
91	1704	3853
92	1720	3829
93	1737	3807
94	1753	3784
95	1769	3760
96	1786	3739
97	1806	3724
98	1827	3711
99	1849	3698
100	1868	3680
101	1889	3668
102	1914	3662
103	1938	3653
104	1955	3630
105	1972	3610
106	1990	3591
107	2006	3567
108	2021	3542
109	2038	3520
110	2052	3495
111	2069	3473
112	2086	3453
113	2101	3429
114	2118	3408
115	2139	3393
116	2161	3381
117	2177	3358
118	2195	3340
119	2212	3318
120	2233	3304
121	2253	3288
122	2279	3279
123	2305	3272
124	2322	3251
125	2341	3233
126	2356	3210
127	2371	3186
128	2391	3170
129	2408	3149
130	2424	3127
131	2439	3105
132	2459	3088
133	2478	3070
134	2494	3048
135	2512	3030
136	2532	3013
137	2556	3000
138	2579	2987
139	2604	2976
140	2625	2960
141	2643	2941
142	2671	2933
143	2696	2920
144	2721	2909
145	2748	2899
146	2773	2886
147	2799	2875
148	2831	2869
149	2853	2853
150	2875	2837
151	2910	2834
152	2953	2837
153	2977	2822
154	3001	2807
155	3019	2787
156	3044	2772
157	3066	2756
158	3084	2735
159	3109	2721
160	3133	2705
161	3152	2685
162	3170	2664
163	3189	2644
164	3223	2637
165	3251	2624
166	3272	2606
167	3293	2587
168	3311	2566
169	3332	2548
170	3349	2526
171	3369	2507
172	3388	2487
173	3410	2469
174	3430	2450
175	3447	2428
176	3469	2411
177	3488	2390
178	3506	2370
179	3525	2350
180	3544	2330
181	3561	2309
182	3580	2289
183	3598	2268
184	3616	2248
185	3635	2228
186	3658	2210
187	3676	2190
188	3695	2170
189	3717	2152
190	3737	2132
191	3754	2111
192	3771	2090
193	3787	2069
194	3803	2047
195	3820	2027
196	3839	2007
197	3854	1985
198	3870	1964
199	3886	1943
200	3903	1922
201	3922	1903
202	3942	1883
203	3960	1863
204	3975	1842
205	3991	1821
206	4007	1800
207	4028	1781
208	4051	1763
209	4069	1744
210	4091	1725
211	4122	1711
212	4158	1698
213	4198	1687
214	4228	1671
215	4267	1659
216	4289	1640
217	4309	1621
218	4329	1601
219	4351	1582
220	4373	1563
221	4406	1548
222	4432	1530
223	4459	1513
224	4483	1494
225	4520	1480
226	4550	1463
227	4571	1443
228	4594	1424
229	4613	1404
230	4635	1384
231	4661	1366
232	4680	1345
233	4704	1326
234	4723	1306
235	4744	1286
236	4764	1266
237	4785	1246
238	4804	1226
239	4825	1206
240	4848	1186
241	4872	1167
242	4894	1148
243	4914	1127
244	4934	1107
245	4956	1088
246	4985	1069
247	5009	1050
248	5030	1030
249	5053	1010
250	5074	990
251	5103	972
252	5123	951
253	5144	931
254	5169	912
255	5188	891
256	5208	871
257	5228	851
258	5252	831
259	5273	811
260	5293	790
261	5314	770
262	5335	750
263	5352	729
264	5374	709
265	5391	689
266	5413	669
267	5431	648
268	5449	627
269	5467	607
270	5488	587
271	5509	567
272	5543	548
273	5584	529
274	5627	511
275	5657	491
276	5677	471
277	5699	451
278	5716	430
279	5733	409
280	5754	389
281	5776	368
282	5797	348
283	5816	327
284	5835	307
285	5856	286
286	5876	266
287	5894	245
288	5933	225
289	5955	205
290	5976	184
291	5993	164
292	6011	143
293	6029	123
294	6047	102
295	6064	81
296	6086	61
297	6113	41
298	6138	20
299	6153	0
