iter	Passed	Remaining
0	157	157150
1	164	82158
2	171	57129
3	179	44629
4	186	37105
5	193	32081
6	200	28489
7	207	25758
8	215	23723
9	222	22020
10	229	20645
11	236	19504
12	244	18546
13	251	17709
14	258	16974
15	266	16361
16	273	15797
17	280	15324
18	287	14864
19	295	14455
20	302	14082
21	309	13751
22	316	13437
23	323	13163
24	331	12911
25	339	12726
26	347	12510
27	355	12350
28	363	12171
29	372	12036
30	379	11865
31	386	11694
32	393	11540
33	401	11400
34	409	11277
35	416	11146
36	423	11029
37	431	10920
38	439	10817
39	446	10722
40	454	10635
41	462	10539
42	469	10453
43	476	10363
44	484	10281
45	491	10201
46	500	10140
47	507	10065
48	515	9995
49	522	9930
50	530	9864
51	537	9795
52	544	9737
53	552	9684
54	560	9636
55	568	9576
56	576	9536
57	583	9484
58	592	9456
59	600	9411
60	608	9364
61	615	9319
62	623	9274
63	630	9227
64	639	9197
65	648	9172
66	655	9133
67	663	9095
68	671	9059
69	678	9020
70	686	8985
71	694	8949
72	701	8914
73	709	8879
74	717	8843
75	724	8808
76	732	8774
77	739	8740
78	746	8707
79	754	8673
80	762	8648
81	769	8618
82	777	8593
83	786	8580
84	794	8556
85	802	8527
86	809	8498
87	817	8473
88	825	8449
89	833	8422
90	840	8396
91	848	8371
92	856	8349
93	863	8326
94	871	8303
95	879	8282
96	887	8258
97	895	8238
98	902	8214
99	909	8189
100	917	8166
101	925	8151
102	933	8131
103	941	8109
104	948	8085
105	956	8064
106	963	8043
107	971	8023
108	978	8002
109	986	7982
110	994	7962
111	1001	7944
112	1009	7923
113	1017	7906
114	1024	7886
115	1031	7864
116	1039	7846
117	1047	7827
118	1054	7810
119	1063	7797
120	1072	7794
121	1082	7787
122	1090	7774
123	1098	7760
124	1106	7744
125	1114	7728
126	1122	7713
127	1130	7698
128	1138	7683
129	1146	7669
130	1153	7652
131	1161	7635
132	1168	7616
133	1176	7601
134	1183	7586
135	1191	7568
136	1199	7553
137	1206	7539
138	1214	7523
139	1222	7510
140	1231	7501
141	1239	7489
142	1247	7474
143	1255	7463
144	1263	7448
145	1271	7434
146	1278	7419
147	1286	7404
148	1293	7389
149	1301	7374
150	1308	7359
151	1316	7346
152	1324	7334
153	1332	7322
154	1340	7308
155	1349	7299
156	1356	7286
157	1365	7274
158	1372	7260
159	1380	7246
160	1387	7232
161	1396	7222
162	1403	7209
163	1412	7199
164	1420	7186
165	1428	7175
166	1435	7162
167	1443	7150
168	1451	7136
169	1459	7123
170	1466	7110
171	1473	7095
172	1481	7082
173	1488	7068
174	1497	7058
175	1504	7045
176	1512	7032
177	1520	7019
178	1527	7007
179	1535	6993
180	1542	6980
181	1549	6965
182	1558	6956
183	1565	6944
184	1575	6938
185	1582	6926
186	1590	6913
187	1598	6902
188	1605	6890
189	1613	6877
190	1621	6868
191	1629	6855
192	1636	6843
193	1643	6830
194	1651	6818
195	1658	6805
196	1666	6792
197	1673	6780
198	1681	6767
199	1688	6754
200	1696	6742
201	1703	6730
202	1711	6718
203	1718	6705
204	1725	6693
205	1733	6681
206	1740	6669
207	1748	6657
208	1755	6644
209	1762	6631
210	1769	6617
211	1778	6610
212	1785	6597
213	1793	6585
214	1800	6575
215	1808	6563
216	1815	6551
217	1822	6538
218	1830	6527
219	1838	6516
220	1845	6506
221	1853	6493
222	1860	6480
223	1867	6468
